,French,English
0,comme,as
1,je,I
2,son,his
3,que,that
4,il,he
5,Actait,was
6,pour,for
7,sur,on
8,sont,are
9,avec,with
10,ils,they
11,Ãªtre,be
12,A,at
13,un,one
14,avoir,have
15,ce,this
16,A partir de,from
17,par,by
18,chaud,hot
19,mot,word
20,mais,but
21,que,what
22,certains,some
23,est,is
24,il,it
25,vous,you
26,ou,or
27,eu,had
28,la,the
29,de,of
30,Ã ,to
31,et,and
32,un,a
33,dans,in
34,nous,we
35,boÃ®te,can
36,dehors,out
37,autre,other
38,Ãctaient,were
39,qui,which
40,faire,do
41,leur,their
42,temps,time
43,si,if
44,volontÃc,will
45,comment,how
46,dit,said
47,un,an
48,chaque,each
49,dire,tell
50,ne,does
51,ensemble,set
52,trois,three
53,vouloir,want
54,air,air
55,bien,well
56,aussi,also
57,jouer,play
58,petit,small
59,fin,end
60,mettre,put
61,maison,home
62,lire,read
63,main,hand
64,port,port
65,grand,large
66,Ãcpeler,spell
67,ajouter,add
68,mÃªme,even
69,terre,land
70,ici,here
71,il faut,must
72,grand,big
73,haut,high
74,tel,such
75,suivre,follow
76,acte,act
77,pourquoi,why
78,interroger,ask
79,hommes,men
80,changement,change
81,est allÃc,went
82,lumiÃ¨re,light
83,genre,kind
84,de,off
85,besoin,need
86,maison,house
87,image,picture
88,essayer,try
89,nous,us
90,encore,again
91,animal,animal
92,point,point
93,mÃ¨re,mother
94,monde,world
95,prÃ¨s de,near
96,construire,build
97,soi,self
98,terre,earth
99,pÃ¨re,father
100,tout,any
101,nouveau,new
102,travail,work
103,partie,part
104,prendre,take
105,obtenir,get
106,lieu,place
107,fabriquÃc,made
108,vivre,live
109,oÃ¹,where
110,aprÃ¨s,after
111,arriÃ¨re,back
112,peu,little
113,seulement,only
114,tour,round
115,homme,man
116,annÃce,year
117,est venu,came
118,montrer,show
119,tous,every
120,bon,good
121,moi,me
122,donner,give
123,notre,our
124,sous,under
125,nom,name
126,trÃ¨s,very
127,par,through
128,juste,just
129,forme,form
130,phrase,sentence
131,grand,great
132,penser,think
133,dire,say
134,aider,help
135,faible,low
136,ligne,line
137,diffÃcrer,differ
138,tour,turn
139,la cause,cause
140,beaucoup,much
141,signifier,mean
142,avant,before
143,dÃcmÃcnagement,move
144,droit,right
145,garÃ§on,boy
146,vieux,old
147,trop,too
148,mÃªme,same
149,elle,she
150,tous,all
151,lÃ ,there
152,quand,when
153,jusquâ€™Ã ,up
154,utiliser,use
155,votre,your
156,maniÃ¨re,way
157,sur,about
158,beaucoup,many
159,puis,then
160,les,them
161,Ãccrire,write
162,voudrais,would
163,comme,like
164,si,so
165,ces,these
166,son,her
167,long,long
168,faire,make
169,chose,thing
170,voir,see
171,lui,him
172,deux,two
173,a,has
174,regarder,look
175,plus,more
176,jour,day
177,pourrait,could
178,aller,go
179,venir,come
180,fait,did
181,nombre,number
182,son,sound
183,aucun,no
184,plus,most
185,personnes,people
186,ma,my
187,sur,over
